AppID,Name,Release date,release_year,studio_name,studio_city,studio_state,studio_state_full,studio_type,studio_tags,Price,owners_estimate,Peak CCU,Positive,Negative,total_reviews,review_pct_positive,Metacritic score,Recommendations,Average playtime forever,Median playtime forever,Windows,Mac,Linux,Genres,Categories,Tags,Supported languages,Developers,Publishers
698790,PAPER FIRE ROOKIE (Formerly Paperville Panic),2018-09-19,2018,Ultimerse,Melbourne,VIC,Victoria,Service,VR,9.99,10000.0,0,43,16,59,72.9,,0,38,38,True,False,False,"Action,Adventure,Casual,Indie,Simulation","Single-player,Steam Achievements,Tracked Controller Support,VR Only,Family Sharing","VR,Action,Adventure,Casual,Simulation,Indie,Funny,Comedy,Cartoon,Satire,Arcade,First-Person,Singleplayer,3D,Colorful,6DOF,Family Friendly,Shoot 'Em Up",['English'],Ultimerse,Ultimerse
12590,Sprint Cars Road to Knoxville,2008-07-29,2008,Big Ant Studios,Melbourne,VIC,Victoria,Studio,Console|PC,4.49,35000.0,0,35,29,64,54.7,,0,15,15,True,False,False,Racing,"Single-player,Multi-player,Family Sharing",Racing,['English'],BigAnt Studios,Cosmi Valusoft
339600,VEGA Conflict,2015-12-14,2015,KIXEYE,Brisbane,QLD,Queensland,Studio,Mobile,0.0,1500000.0,290,2865,2020,4885,58.6,,0,3758,231,True,True,False,"Massively Multiplayer,Strategy,Free To Play","Multi-player,MMO,PvP,Online PvP,Cross-Platform Multiplayer,Steam Achievements","Free to Play,2D,Space,Massively Multiplayer,Strategy,Combat,Base-Building,Top-Down Shooter,Open World,RTS,Sandbox,PvE,Action,PvP,Sci-fi,Survival,Exploration,War,Multiplayer,Singleplayer","['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Japanese', 'Korean', 'Portuguese - Portugal', 'Russian', 'Simplified Chinese', 'Traditional Chinese', 'Turkish']",KIXEYE,KIXEYE
347250,F-19 Stealth Fighter,2015-04-01,2015,MicroProse,,,,Publisher,,1.74,10000.0,1,80,9,89,89.9,,0,37,37,True,False,True,Simulation,"Single-player,Family Sharing","Simulation,Flight,Stealth,Classic,Retro",['English'],"MicroProse Software, Inc","Atari,Nightdive Studios"
1537830,Disney Speedstorm,2023-04-18,2023,Gameloft,Brisbane,QLD,Queensland,Publisher,,0.0,10000.0,169,0,0,0,,,993,288,84,True,False,False,"Action,Adventure,Casual,Racing,Simulation,Sports,Free To Play","Single-player,Multi-player,PvP,Online PvP,Shared/Split Screen PvP,Shared/Split Screen,Cross-Platform Multiplayer,Steam Achievements,Full controller support,In-App Purchases,Stats","Racing,Multiplayer,Action,Combat Racing,Arcade,Driving,3D,Third Person,Character Customization,Casual,Simulation,Adventure,Free to Play,Sports,PvP,PvE,Vehicular Combat,Split Screen,Early Access,Automobile Sim","['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Japanese', 'Korean', 'Portuguese - Brazil', 'Russian', 'Simplified Chinese', 'Thai', 'Traditional Chinese', 'Turkish', 'Indonesian', 'Portuguese - Portugal', 'Spanish - Latin America']",Gameloft,Gameloft
1374350,Tiny Troopers: Global Ops,2023-03-09,2023,Epiphany Games,Sydney,NSW,New South Wales,Studio,,4.39,10000.0,0,35,27,62,56.5,,0,0,0,True,False,False,"Action,Indie","Single-player,Multi-player,Co-op,Online Co-op,Shared/Split Screen Co-op,Shared/Split Screen,Cross-Platform Multiplayer,Steam Achievements,Full controller support,Steam Cloud,Family Sharing","Shoot 'Em Up,Top-Down Shooter,Twin Stick Shooter,Shooter,Arcade,Character Customization,3D,Cute,Top-Down,Split Screen,Funny,Co-op,Controller,Local Co-Op,Online Co-Op,Multiplayer,Action,Singleplayer,Casual,Colorful","['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Japanese', 'Korean', 'Polish', 'Portuguese - Brazil', 'Russian', 'Simplified Chinese', 'Traditional Chinese']","Epiphany Games,Kukouri Mobile Entertainment",Wired Productions
270510,EPOCH,2014-06-05,2014,Uppercut Games,Canberra,ACT,Australian Capital Territory,Studio,Console|PC|Mobile,1.99,75000.0,1,135,28,163,82.8,,153,174,234,True,False,False,"Action,Indie","Single-player,Steam Achievements,Steam Trading Cards,Partial Controller Support,Steam Cloud,Steam Leaderboards,Family Sharing","Action,Indie,Robots,On-Rails Shooter,Shooter,Post-apocalyptic,Third Person,Arcade,Sci-fi","['English', 'Russian']",Uppercut Games Pty Ltd,Uppercut Games Pty Ltd
1962660,Call of Duty®: Modern Warfare® II,2022-10-22,2022,Sledgehammer Games,Melbourne,VIC,Victoria,Studio,,27.99,10000.0,0,1822,5944,7766,23.5,,9615,0,0,True,False,False,Action,"Single-player,Multi-player,PvP,Online PvP,Co-op,Online Co-op,Cross-Platform Multiplayer,Steam Achievements,Full controller support,Captions available,In-App Purchases","Action,FPS,Singleplayer,Multiplayer,Shooter,Military,War,Story Rich,Online Co-Op,Gore,PvP,Tactical,Realistic,Violent,Co-op,First-Person,Atmospheric,Third-Person Shooter,Third Person,Free to Play","['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Arabic', 'Japanese', 'Korean', 'Polish', 'Portuguese - Brazil', 'Russian', 'Simplified Chinese', 'Spanish - Latin America', 'Traditional Chinese']","Infinity Ward,Raven Software,Beenox,Treyarch,High Moon Studios,Sledgehammer Games,Demonware,Toys for Bob",Activision
362380,Push Me Pull You,2016-07-14,2016,House House,Melbourne,VIC,Victoria,Studio,Console|PC|Indie,14.99,10000.0,0,30,10,40,75.0,,0,16,16,True,True,True,"Action,Indie,Sports","Multi-player,PvP,Shared/Split Screen PvP,Shared/Split Screen,Steam Achievements,Full controller support,Remote Play on Phone,Remote Play on Tablet,Remote Play on TV,Remote Play Together,Family Sharing","Local Multiplayer,Sports,Indie,Physics,Action,Funny,Colorful,Cute,4 Player Local,Comedy,Multiplayer,Stylized,PvP,Team-Based,Competitive,Wrestling,Controller,Family Friendly,Party Game,Psychological Horror","['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Japanese', 'Portuguese - Brazil', 'Simplified Chinese']",House House,House House
1137690,Tinhead,2019-08-23,2019,MicroProse,,,,Publisher,,3.14,10000.0,0,7,7,14,50.0,,0,0,0,True,False,False,"Action,Adventure","Single-player,Family Sharing","Action,Adventure,Platformer",['English'],Microprose,"Piko Interactive LLC,Bleem!"
