studio_name,n_games,first_release_year,last_release_year,total_positive_reviews,total_reviews,avg_review_pct_positive,median_price,total_owners_estimate,peak_ccu_best,city,state,state_full,type,career_span_years,lat,lng
Sledgehammer Games,16,2011,2025,576289,945136,61.2,19.99,89060000.0,67419,Melbourne,VIC,Victoria,Studio,14,-37.67975027348043,144.50711032501377
Team Cherry,2,2017,2025,403641,415946,97.0,11.74,7510000.0,4912,Adelaide,SA,South Australia,Other,8,-35.04098534081544,138.46230536907441
Tantalus Media,4,2019,2024,221745,241452,88.4,8.615,6500000.0,13465,Melbourne,VIC,Victoria,Studio,5,-37.58658763440255,145.132731507926
Massive Monster,3,2018,2022,100568,105251,91.4,1.49,3860000.0,1535,Melbourne,VIC,Victoria,Studio,4,-37.43710761500335,144.56656127932425
Beam Team Games,1,2022,2022,34118,45828,74.4,9.99,1500000.0,256,Brisbane,QLD,Queensland,Studio,0,-27.51820847179513,152.73357427605163
SMG Studio,9,2014,2025,34208,42781,79.3,2.49,4250000.0,2153,Sydney,NSW,New South Wales,Studio,11,-34.02636273410998,151.2122989613379
Witch Beam,3,2015,2025,34769,37303,95.0,7.99,1110000.0,260,Brisbane,QLD,Queensland,Studio,10,-27.763347698796004,152.83837934342574
Greenheart Games,2,2013,2025,34126,35783,95.4,13.989999999999998,1500000.0,157,Brisbane,QLD,Queensland,Studio,12,-27.376871648576696,153.052963717974
Team Bondi,1,2011,2011,29214,34026,85.9,5.99,3500000.0,150,Sydney,NSW,New South Wales,Studio,0,-34.02535325165721,151.25928878297051
Gameloft,10,2017,2025,22919,27126,71.3,0.0,2305000.0,3587,Brisbane,QLD,Queensland,Publisher,8,-27.277953116859745,152.7191292310004
ustwo,6,2020,2025,23445,24752,92.5,3.09,1220000.0,58,,,,Studio,5,,
House House,2,2016,2020,21214,22144,85.4,11.99,1510000.0,100,Melbourne,VIC,Victoria,Studio,4,-37.5200135182405,145.1533138191887
League of Geeks,3,2015,2024,14785,18197,76.5,14.99,1685000.0,61,Melbourne,VIC,Victoria,Studio,9,-37.96695950414273,144.6323603198193
Defiant Development,2,2015,2017,14228,16239,86.8,24.99,1100000.0,15,Brisbane,QLD,Queensland,Studio,2,-27.186327895231795,152.92378861796985
Electronic Arts,4,2010,2024,11006,14850,65.5,4.99,3020000.0,24,Melbourne,VIC,Victoria,Publisher,14,-38.20456399035506,144.57594772176012
Big Ant Studios,24,2008,2025,10125,13134,64.5,24.99,1210000.0,445,Melbourne,VIC,Victoria,Studio,17,-37.48000540830644,145.0626769901122
Grease Monkey Games,2,2021,2024,9461,12416,73.1,4.995,1510000.0,91,Melbourne,VIC,Victoria,Studio,3,-37.5187568576566,145.18364251522607
MicroProse,48,2007,2024,9594,11104,74.1,1.74,4220000.0,136,,,,Publisher,17,,
Playside Studios,3,2023,2025,8752,11039,85.5,7.49,500000.0,176,Melbourne,VIC,Victoria,Studio,2,-37.77882103220349,145.4172911334202
Con Artist Games,3,2021,2025,7382,8823,87.3,7.49,535000.0,112,Melbourne,VIC,Victoria,Studio,4,-37.930206997879985,145.0130590060223
N3V Games,10,2010,2025,5969,8004,65.3,3.99,720000.0,244,Helensvale,QLD,Queensland,Publisher,15,,
Krome Studios,8,2014,2020,7056,7829,85.2,5.24,905000.0,22,Brisbane,QLD,Queensland,Studio,6,-27.26556910816314,153.09858224646584
5 Lives Studios,3,2015,2024,4892,6865,75.0,5.99,1610000.0,13,Brisbane,QLD,Queensland,Studio,9,-27.245541721807317,153.0730583300592
Uppercut Games,4,2014,2022,5036,6461,81.7,19.99,495000.0,2,Canberra,ACT,Australian Capital Territory,Studio,8,-35.18679695534114,148.9210792164816
Blue Manchu,2,2019,2024,4943,5808,81.4,7.99,360000.0,11,Canberra,ACT,Australian Capital Territory,Studio,5,-35.40606679320029,149.03311846325695
Halfbrick Studios,3,2016,2023,4549,4916,83.5,7.94,260000.0,9,Kelvin Grove,QLD,Queensland,Studio,7,,
KIXEYE,1,2015,2015,2865,4885,58.6,0.0,1500000.0,290,Brisbane,QLD,Queensland,Studio,0,-27.73032897430735,152.85943034954386
Flow Studio,1,2025,2025,3362,3924,85.7,16.24,150000.0,40,Brisbane,QLD,Queensland,Studio,0,-27.71717911376597,152.88744363392826
Samurai Punk,7,2014,2023,3475,3882,88.0,1.99,885000.0,2,Melbourne,VIC,Victoria,Other,9,-37.683342933506175,144.83333889181128
