genre,side,pct,signed_pct,au_pct_sort
Indie,Australia,46.21,-46.21,46.21
Indie,All of Steam,71.06,71.06,46.21
Action,Australia,41.72,-41.72,41.72
Action,All of Steam,39.97,39.97,41.72
Adventure,Australia,33.79,-33.79,33.79
Adventure,All of Steam,39.87,39.87,33.79
Simulation,Australia,29.66,-29.66,29.66
Simulation,All of Steam,20.96,20.96,29.66
Strategy,Australia,24.14,-24.14,24.14
Strategy,All of Steam,19.75,19.75,24.14
Casual,Australia,23.45,-23.45,23.45
Casual,All of Steam,44.52,44.52,23.45
Sports,Australia,15.86,-15.86,15.86
Sports,All of Steam,4.29,4.29,15.86
RPG,Australia,13.45,-13.45,13.45
RPG,All of Steam,18.72,18.72,13.45
Free To Play,Australia,5.86,-5.86,5.86
Free To Play,All of Steam,10.44,10.44,5.86
Racing,Australia,4.83,-4.83,4.83
Racing,All of Steam,3.58,3.58,4.83
Early Access,Australia,4.48,-4.48,4.48
Early Access,All of Steam,9.72,9.72,4.48
Massively Multiplayer,Australia,1.72,-1.72,1.72
Massively Multiplayer,All of Steam,2.15,2.15,1.72
